Presence of JS,Presence of NS,Presence of internal JS,Presence of image,Presence of iframe,Presence of links,World Traffic rank,Country Traffic rank,presence of form,test probability0,test probability1,Output
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,0,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,0,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,0,2,0,0
1,1,1,1,1,1,2,2,0,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
0,0,0,0,0,0,2,2,0,0,2,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,0,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,0,0,1,2,0,0
0,0,0,0,1,0,2,2,0,0,2,0
1,1,1,1,0,1,2,0,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,0,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,0,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,0,1,0,0,1,2,0,0
1,0,1,0,0,0,2,2,0,0,2,0
1,0,1,1,0,1,2,2,1,2,0,0
0,0,0,0,0,0,2,2,0,0,2,0
1,0,1,1,0,1,2,2,0,2,0,0
1,0,1,0,0,1,2,2,1,2,0,0
0,0,0,0,0,0,2,2,0,0,2,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,0,0,1,2,2,1,0,2,0
1,0,1,1,0,1,0,2,1,2,0,0
1,0,1,0,0,0,2,2,0,0,2,0
1,0,1,1,1,1,2,0,1,2,0,0
1,1,1,1,1,1,2,0,1,0,2,0
1,0,1,1,1,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,0,0,2,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,0,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,1,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,0,1,2,0,1,0,2,0
1,1,1,1,0,1,2,2,1,2,0,0
1,0,1,1,1,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,0,2,0
0,0,0,0,0,0,2,0,0,0,2,0
1,0,1,1,0,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,0,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,0,0,1,2,2,1,0,2,0
1,0,1,1,0,1,2,2,1,0,2,0
1,1,1,0,1,1,2,2,1,0,2,0
1,1,1,1,0,1,2,2,0,2,0,0
1,1,1,1,0,1,0,0,0,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,0,2,0,0
1,0,1,0,0,1,2,2,0,0,2,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,0,2,1,2,0,0
0,0,0,0,0,0,2,2,0,0,2,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,0,2,0,0
1,0,1,1,0,1,2,2,0,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,0,1,0,0,1,2,2,1,0,2,0
0,0,0,0,0,0,2,2,0,0,2,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,0,2,0,0
1,0,1,1,1,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,0,1,1,2,2,1,0,2,0
1,0,1,1,0,1,0,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,0,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,0,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
0,0,0,0,0,0,2,2,0,0,2,0
1,0,1,1,0,1,2,2,0,2,0,0
1,0,1,1,1,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
0,0,0,0,0,1,2,0,0,0,2,0
0,0,0,0,0,0,2,2,0,0,2,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
0,0,0,0,0,0,2,2,0,0,2,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,0,0,2,0
1,0,1,1,0,1,2,0,1,0,2,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,0,1,1,2,2,0,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,0,1,0,2,2,0,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
0,0,0,0,0,0,2,2,0,0,2,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,0,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,0,2,2,0,0,2,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,0,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,0,2,0,0
1,1,1,1,1,1,2,2,0,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,0,2,2,0,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,0,2,0,0
1,1,1,1,1,1,0,2,0,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
0,0,0,0,0,0,2,2,0,0,2,0
1,0,1,1,0,1,2,2,0,0,2,0
1,0,1,1,0,1,2,2,0,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,0,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,0,1,0,0,1,2,2,0,2,0,0
0,0,0,0,0,0,2,2,0,0,2,0
1,0,1,1,0,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,0,1,1,1,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
0,0,0,0,0,0,2,2,0,0,2,0
1,0,1,0,0,1,2,2,1,0,2,0
1,0,1,0,0,0,2,2,0,0,2,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,0,2,0,0
0,0,0,0,0,1,0,2,0,0,2,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,0,2,0,0
1,0,1,1,0,1,2,2,0,0,2,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,0,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,0,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,0,0,2,0
1,1,1,1,1,1,2,2,0,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,0,0,2,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,0,1,1,0,1,0,2,1,2,0,0
1,0,1,1,1,1,2,0,1,0,2,0
1,1,1,1,0,1,2,2,1,2,0,0
1,0,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,0,2,0,0
1,1,1,1,0,1,2,2,0,2,0,0
1,0,1,1,0,1,2,2,1,0,2,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,0,2,0,0
1,0,1,1,1,1,2,2,1,2,0,0
1,0,1,1,1,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,0,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,0,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,0,1,0,0,1,2,2,0,0,2,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,0,0,0,2,0
0,0,0,0,0,0,2,2,0,0,2,0
1,0,1,0,0,0,2,2,0,0,2,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,0,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
0,0,0,0,0,0,2,2,0,0,2,0
1,1,1,1,0,1,2,2,0,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,0,1,0,0,1,2,2,0,0,2,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,0,2,0,0
1,1,1,1,1,1,2,2,0,2,0,0
1,0,1,1,0,1,0,0,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
0,0,0,0,0,1,2,2,0,0,2,0
1,1,1,0,0,1,2,2,1,0,2,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,0,1,1,2,2,0,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,0,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,0,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,1,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,0,2,0,0
1,0,1,1,0,1,2,2,0,2,0,0
1,0,1,1,0,1,2,2,0,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,0,2,0,0
0,0,0,0,0,0,2,0,0,0,2,0
1,0,1,1,0,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,0,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,0,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,0,1,2,0,0
1,1,1,1,0,1,0,0,0,2,0,0
1,0,1,1,0,1,2,2,0,2,0,0
1,1,1,1,0,1,2,2,1,0,2,0
1,0,1,1,0,1,2,2,1,2,0,0
1,0,1,1,1,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,0,1,1,0,1,2,0,1,0,2,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,0,1,2,0,1,0,2,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,0,1,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,0,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
0,0,0,1,0,0,2,2,0,0,2,0
1,1,1,0,0,1,2,2,1,0,2,0
0,0,0,0,0,0,2,2,0,0,2,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,0,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,0,2,0,0
0,0,0,0,0,0,2,2,0,0,2,0
1,0,1,1,0,1,2,2,1,2,0,0
0,0,0,0,0,0,2,2,0,0,2,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,0,2,0,0
1,0,1,1,0,1,2,0,0,0,2,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,0,2,0,0
1,1,1,1,1,1,2,2,0,2,0,0
1,0,1,0,0,0,2,2,0,0,2,0
1,0,1,1,0,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,0,2,0,0
1,0,1,0,1,0,2,2,0,0,2,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,0,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
0,0,0,0,0,1,2,2,0,0,2,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,0,0,1,2,2,1,0,2,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,0,2,0,0
1,0,1,1,0,1,2,2,0,0,2,0
1,0,1,0,0,1,2,0,0,0,2,0
1,1,1,0,0,1,0,2,1,0,2,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,0,0,2,0,0
1,1,1,0,0,1,2,2,1,0,2,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,0,1,1,0,1,2,0,1,2,0,0
1,0,1,1,0,1,2,2,0,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
0,0,0,0,0,0,2,2,0,0,2,0
1,1,1,1,0,1,2,2,0,2,0,0
1,1,1,1,0,1,2,2,0,2,0,0
1,0,1,0,0,1,2,2,0,0,2,0
1,1,1,0,0,0,2,0,0,0,2,0
1,1,1,0,0,1,2,2,0,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,0,1,0,1,0,2,2,0,0,2,0
1,1,1,1,0,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,0,2,0,0
1,0,1,1,0,1,2,2,0,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
0,0,0,1,0,0,2,0,0,0,2,0
1,0,1,0,0,1,2,2,0,0,2,0
1,1,1,1,0,1,2,0,0,2,0,0
0,0,0,0,0,0,2,2,0,0,2,0
1,1,1,1,1,1,2,2,0,2,0,0
1,1,1,0,0,1,2,2,1,0,2,0
1,1,1,1,0,0,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,0,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,0,2,0,0
1,1,1,1,1,1,2,2,0,2,0,0
1,1,1,1,0,1,2,2,0,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,0,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,0,2,0,0
1,0,1,0,0,1,2,2,0,0,2,0
1,0,1,1,0,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,0,0,0,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,0,1,1,1,1,2,2,1,2,0,0
1,1,1,0,1,1,2,2,1,2,0,0
1,0,1,0,0,0,2,2,0,0,2,0
1,0,1,1,0,1,2,2,0,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,0,1,0,0,0,2,2,0,0,2,0
0,0,0,0,0,0,2,2,0,0,2,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,0,1,0,0,1,2,2,0,0,2,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,0,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,0,0,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
0,0,0,0,0,0,2,2,0,0,2,0
1,0,1,1,0,1,2,2,0,2,0,0
1,0,1,1,0,1,2,2,0,2,0,0
0,0,0,0,0,1,2,0,0,0,2,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,0,0,2,0
1,1,1,1,0,1,2,2,1,0,2,0
1,1,1,1,0,1,2,2,1,2,0,0
1,0,1,0,0,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,0,1,1,0,1,2,0,0,2,0,0
1,1,1,1,1,1,2,2,0,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,0,0,1,2,2,0,0,2,0
0,0,0,0,0,0,2,0,0,0,2,0
1,0,1,1,0,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,0,0,1,2,2,1,0,2,0
1,0,1,1,0,1,0,0,1,2,0,0
1,1,1,1,0,1,2,2,0,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,0,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,0,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,0,2,0,0
1,1,1,1,0,1,2,0,1,0,2,0
1,1,1,1,1,1,2,2,1,2,0,0
0,0,0,0,0,0,2,2,0,0,2,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,0,2,0,0
1,0,1,1,0,1,2,2,0,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
0,0,0,0,0,0,2,2,0,0,2,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,0,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,0,2,0,0
1,0,1,1,1,1,2,2,0,0,2,0
1,1,1,0,0,1,2,2,1,0,2,0
1,0,1,1,0,1,0,0,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
0,0,0,0,0,1,2,2,0,0,2,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,0,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,0,1,2,0,1,0,2,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,0,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,0,0,2,0
1,1,1,0,0,0,2,2,0,0,2,0
1,0,1,0,0,0,2,2,0,2,0,0
1,1,1,1,0,1,2,2,0,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
0,0,0,0,0,0,0,0,0,0,2,0
1,0,1,1,1,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,0,2,0,0
1,0,1,1,0,0,2,2,0,0,2,0
1,1,1,1,0,1,2,2,1,2,0,0
1,0,1,1,1,1,2,2,0,2,0,0
1,1,1,1,1,1,2,0,1,0,2,0
0,0,0,0,0,0,2,2,0,0,2,0
0,0,0,0,0,1,2,2,0,0,2,0
1,0,1,1,0,1,2,2,1,2,0,0
1,0,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,0,0,0,2,2,0,0,2,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,0,0,0,2,2,0,2,0,0
1,0,1,1,1,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,0,2,0,0
0,0,0,0,0,0,2,2,0,0,2,0
1,1,1,1,1,1,2,2,1,2,0,0
0,0,0,0,0,0,2,2,0,0,2,0
0,0,0,0,0,0,2,2,0,0,2,0
1,0,1,1,0,1,2,2,0,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,0,0,0,2,2,0,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,0,1,0,0,0,2,2,0,0,2,0
1,0,1,0,0,1,2,0,0,0,2,0
1,1,1,1,1,1,2,2,0,2,0,0
0,0,0,0,0,0,2,2,0,0,2,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,1,1,2,2,0,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,0,2,0,0
1,0,1,1,0,1,2,2,0,2,0,0
1,0,1,0,0,1,2,2,0,2,0,0
0,0,0,0,0,0,2,2,0,0,2,0
1,0,1,1,0,1,0,0,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
0,0,0,0,0,0,2,2,0,0,2,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,0,2,0,0
1,1,1,1,0,1,2,2,0,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,0,2,0,0
1,0,1,1,1,1,2,2,0,2,0,0
1,1,1,1,1,1,2,2,0,2,0,0
1,0,1,1,1,1,2,2,0,0,2,0
0,0,0,0,0,0,2,2,0,0,2,0
1,0,1,0,0,1,2,0,0,0,2,0
1,1,1,1,0,1,2,0,1,2,0,0
1,1,1,0,0,1,2,2,1,0,2,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,0,1,1,1,1,2,2,0,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
0,0,0,0,0,1,2,2,0,0,2,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,0,2,0,0
1,1,1,1,1,1,2,2,0,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,0,1,0,2,2,0,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,0,2,0,0
1,0,1,1,0,1,0,0,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,0,0,1,2,2,1,0,2,0
1,0,1,0,0,1,2,2,0,0,2,0
1,0,1,1,0,0,2,2,0,2,0,0
1,0,1,1,0,1,2,2,0,2,0,0
1,1,1,0,0,1,2,2,1,0,2,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,0,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,0,1,0,2,2,0,0,2,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,0,0,2,0
1,0,1,1,0,1,2,2,0,0,2,0
1,0,1,1,0,1,2,2,1,2,0,0
0,0,0,0,0,1,2,2,0,0,2,0
1,1,1,1,0,1,2,2,1,2,0,0
0,0,0,0,0,0,2,2,0,0,2,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
0,0,0,0,0,0,2,2,0,0,2,0
0,0,0,1,0,0,2,2,0,0,2,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,0,0,2,0
1,1,1,1,1,1,2,2,1,2,0,0
1,0,1,1,0,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
1,1,1,1,1,1,2,2,1,2,0,0
